/Users/wuyueer/Desktop/logo rec/samplescomplex/download-1 copy.png,"Microsoft Azure"
/Users/wuyueer/Desktop/logo rec/samplescomplex/download-1 copy.png,"Microsoft Azure"
/Users/wuyueer/Desktop/logo rec/samplescomplex/florian-berger-Gdlr_lt6Q1I-unsplash.jpg,"Yves Saint Laurent"
/Users/wuyueer/Desktop/logo rec/samplescomplex/download-3_ copy.png,"Rackspace Technology"
/Users/wuyueer/Desktop/logo rec/samplescomplex/download-3-1 copy.png,"Royal Dutch Shell"
/Users/wuyueer/Desktop/logo rec/samplescomplex/images-3-1 copy.png,"Google Cloud Platform"
/Users/wuyueer/Desktop/logo rec/samplescomplex/daniele-d-andreti-9Am-iidiO40-unsplash.jpg,"Nescafé"
/Users/wuyueer/Desktop/logo rec/samplescomplex/20336484-tesla-logo-tesla-symbol-transparent-png-kostenlos-vektor.jpg,"Tesla, Inc."
/Users/wuyueer/Desktop/logo rec/samplescomplex/20336484-tesla-logo-tesla-symbol-transparent-png-kostenlos-vektor.jpg,"Tesla, Inc."
/Users/wuyueer/Desktop/logo rec/samplescomplex/souvik-banerjee-JLj_NbvlDDo-unsplash.jpg,"LinkedIn"
/Users/wuyueer/Desktop/logo rec/samplescomplex/krish-parmar-QsnLLIHwY8Y-unsplash.jpg,"Bentley Motors Limited"
/Users/wuyueer/Desktop/logo rec/samplescomplex/nvidia.jpg,"Nvidia"
/Users/wuyueer/Desktop/logo rec/samplescomplex/erik-mclean-tZTETcj9xBE-unsplash.jpg,"HSBC Bank"
/Users/wuyueer/Desktop/logo rec/samplescomplex/erik-mclean-tZTETcj9xBE-unsplash.jpg,"HSBC Bank"
/Users/wuyueer/Desktop/logo rec/samplescomplex/luis-de-leon-DiYwfoyeO3Y-unsplash.jpg,"Dior"
/Users/wuyueer/Desktop/logo rec/samplescomplex/ase-t5a2H-WuVfI-unsplash.jpg,"Apple"
/Users/wuyueer/Desktop/logo rec/samplescomplex/jason-yuen-M8Zn9wMIYoo-unsplash.jpg,"KFC"
/Users/wuyueer/Desktop/logo rec/samplescomplex/download-11 copy.png,"Samsung"
/Users/wuyueer/Desktop/logo rec/samplescomplex/niccolo-chiamori-rUwfqy0HKpw-unsplash.jpg,"Five Guys"
/Users/wuyueer/Desktop/logo rec/samplescomplex/niccolo-chiamori-rUwfqy0HKpw-unsplash.jpg,"IMAX Corporation"
/Users/wuyueer/Desktop/logo rec/samplescomplex/niccolo-chiamori-rUwfqy0HKpw-unsplash.jpg,"IMAX Corporation"
/Users/wuyueer/Desktop/logo rec/samplescomplex/images-1 copy.png,"Salesforce"
/Users/wuyueer/Desktop/logo rec/samplescomplex/the-ride-academy-IzdkOMvyZAk-unsplash.jpg,"Honda Motor Company"
/Users/wuyueer/Desktop/logo rec/samplescomplex/the-ride-academy-IzdkOMvyZAk-unsplash.jpg,"Kymco"
/Users/wuyueer/Desktop/logo rec/samplescomplex/the-ride-academy-IzdkOMvyZAk-unsplash.jpg,"Honda Motor Company"
/Users/wuyueer/Desktop/logo rec/samplescomplex/the-ride-academy-IzdkOMvyZAk-unsplash.jpg,"Honda Motor Company"
/Users/wuyueer/Desktop/logo rec/samplescomplex/the-ride-academy-IzdkOMvyZAk-unsplash.jpg,"Honda Motor Company"
/Users/wuyueer/Desktop/logo rec/samplescomplex/rafal-gerent-pocian-qjpbN7RrfmA-unsplash.jpg,"Bayerische Motoren Werke"
/Users/wuyueer/Desktop/logo rec/samplescomplex/anastasia-zhenina-zO1fG-4sT8g-unsplash.jpg,"Marshall Amplification"
/Users/wuyueer/Desktop/logo rec/samplescomplex/khadeeja-yasser-3U9L9Chc3is-unsplash.jpg,"Starbucks"
/Users/wuyueer/Desktop/logo rec/samplescomplex/images,"TSMC"
/Users/wuyueer/Desktop/logo rec/samplescomplex/AppDynamics_LOGO_STACKED_DEEPSPACE copy.jpg,"AppDynamics"
/Users/wuyueer/Desktop/logo rec/samplescomplex/arnold-mecses-UCe3lFShDqk-unsplash.jpg,"Audi"
/Users/wuyueer/Desktop/logo rec/samplescomplex/images-1-1 copy.png,"Twilio"
/Users/wuyueer/Desktop/logo rec/samplescomplex/becpildos.jpg,"Beck's Brewery"
/Users/wuyueer/Desktop/logo rec/samplescomplex/becpildos.jpg,"Beck's Brewery"
/Users/wuyueer/Desktop/logo rec/samplescomplex/2b962290-200e-42fa-8cc7-29a3eae0c807.jpg,"Marlboro"
/Users/wuyueer/Desktop/logo rec/samplescomplex/2b962290-200e-42fa-8cc7-29a3eae0c807.jpg,"Pampers"
/Users/wuyueer/Desktop/logo rec/samplescomplex/2b962290-200e-42fa-8cc7-29a3eae0c807.jpg,"ESPN"
/Users/wuyueer/Desktop/logo rec/samplescomplex/2b962290-200e-42fa-8cc7-29a3eae0c807.jpg,"Kraft Foods"
/Users/wuyueer/Desktop/logo rec/samplescomplex/2b962290-200e-42fa-8cc7-29a3eae0c807.jpg,"Chevrolet"
/Users/wuyueer/Desktop/logo rec/samplescomplex/2b962290-200e-42fa-8cc7-29a3eae0c807.jpg,"Ford Motor Company"
/Users/wuyueer/Desktop/logo rec/samplescomplex/2b962290-200e-42fa-8cc7-29a3eae0c807.jpg,"Microsoft Corporation"
